lecture,slide_id,concepts_single,concepts_multi,concept_coverage_loss,concept_jaccard_single_vs_multi,triples_single,triples_multi,triple_coverage_loss,triple_jaccard_single_vs_multi
Lecture 3,Slide12,4,11,0.6363636363636364,0.36363636363636365,1,4,0.75,0.25
Lecture 3,Slide13,4,8,0.5,0.5,1,4,0.75,0.25
Lecture 3,Slide14,3,7,0.5714285714285714,0.42857142857142855,2,2,0.0,1.0
Lecture 3,Slide15,3,6,0.5,0.5,1,2,0.5,0.5
Lecture 3,Slide16,4,6,0.3333333333333333,0.6666666666666666,1,1,0.0,1.0
Lecture 3,Slide17,5,6,0.16666666666666666,0.8333333333333334,0,0,0.0,1.0
Lecture 3,Slide18,7,10,0.3,0.7,1,2,0.5,0.5
Lecture 3,Slide19,5,9,0.4444444444444444,0.5555555555555556,2,2,0.0,1.0
Lecture 3,Slide2,0,5,1.0,0.0,0,0,0.0,1.0
Lecture 3,Slide20,8,11,0.2727272727272727,0.7272727272727273,0,0,0.0,1.0
Lecture 3,Slide21,5,11,0.5454545454545454,0.45454545454545453,1,1,0.0,1.0
Lecture 3,Slide22,6,11,0.45454545454545453,0.5454545454545454,2,2,0.0,1.0
Lecture 3,Slide23,4,11,0.6363636363636364,0.36363636363636365,0,0,0.0,1.0
Lecture 3,Slide24,6,9,0.3333333333333333,0.6666666666666666,1,1,0.0,1.0
Lecture 3,Slide25,8,9,0.1111111111111111,0.8888888888888888,0,0,0.0,1.0
Lecture 3,Slide26,1,14,0.9285714285714286,0.07142857142857142,0,0,0.0,1.0
Lecture 3,Slide27,5,7,0.2857142857142857,0.7142857142857143,3,3,0.0,1.0
Lecture 3,Slide28,7,13,0.46153846153846156,0.5384615384615384,2,2,0.0,1.0
Lecture 3,Slide29,7,13,0.46153846153846156,0.5384615384615384,2,2,0.0,1.0
Lecture 3,Slide3,6,6,0.0,1.0,3,3,0.0,1.0
Lecture 3,Slide30,3,12,0.75,0.25,1,1,0.0,1.0
Lecture 3,Slide31,3,9,0.6666666666666666,0.3333333333333333,1,1,0.0,1.0
Lecture 3,Slide32,3,4,0.25,0.75,1,1,0.0,1.0
Lecture 3,Slide33,7,11,0.36363636363636365,0.6363636363636364,0,2,1.0,0.0
Lecture 3,Slide34,5,8,0.375,0.625,1,1,0.0,1.0
Lecture 3,Slide35,9,11,0.18181818181818182,0.8181818181818182,1,2,0.5,0.5
Lecture 3,Slide36,5,8,0.375,0.625,1,1,0.0,1.0
Lecture 3,Slide37,6,11,0.45454545454545453,0.5454545454545454,3,5,0.4,0.6
Lecture 3,Slide38,8,10,0.2,0.8,0,1,1.0,0.0
Lecture 3,Slide39,1,6,0.8333333333333334,0.16666666666666666,0,0,0.0,1.0
Lecture 3,Slide4,8,13,0.38461538461538464,0.6153846153846154,0,0,0.0,1.0
Lecture 3,Slide40,0,6,1.0,0.0,0,0,0.0,1.0
Lecture 3,Slide5,4,7,0.42857142857142855,0.5714285714285714,1,1,0.0,1.0
Lecture 3,Slide6,4,7,0.42857142857142855,0.5714285714285714,3,3,0.0,1.0
Lecture 3,Slide7,1,9,0.8888888888888888,0.1111111111111111,1,1,0.0,1.0
Lecture 3,Slide8,5,7,0.2857142857142857,0.7142857142857143,1,1,0.0,1.0
Lecture 3,Slide9,1,4,0.75,0.25,1,2,0.5,0.5
Lecture 4,Slide1,3,7,0.5714285714285714,0.42857142857142855,0,0,0.0,1.0
Lecture 4,Slide10,5,8,0.375,0.625,1,2,0.5,0.5
Lecture 4,Slide11,5,8,0.375,0.625,1,1,0.0,1.0
Lecture 4,Slide12,8,10,0.2,0.8,1,1,0.0,1.0
Lecture 4,Slide13,8,9,0.1111111111111111,0.8888888888888888,2,3,0.3333333333333333,0.6666666666666666
Lecture 4,Slide14,6,8,0.25,0.75,2,3,0.3333333333333333,0.6666666666666666
Lecture 4,Slide15,7,9,0.2222222222222222,0.7777777777777778,1,3,0.6666666666666666,0.3333333333333333
Lecture 4,Slide16,4,5,0.2,0.8,2,3,0.3333333333333333,0.6666666666666666
Lecture 4,Slide17,3,11,0.7272727272727273,0.2727272727272727,1,4,0.75,0.25
Lecture 4,Slide18,1,8,0.875,0.125,3,4,0.25,0.75
Lecture 4,Slide19,8,11,0.2727272727272727,0.7272727272727273,2,2,0.0,1.0
Lecture 4,Slide2,0,2,1.0,0.0,0,0,0.0,1.0
Lecture 4,Slide20,5,8,0.375,0.625,1,1,0.0,1.0
Lecture 4,Slide21,1,4,0.75,0.25,3,3,0.0,1.0
Lecture 4,Slide22,1,4,0.75,0.25,1,1,0.0,1.0
Lecture 4,Slide23,7,9,0.2222222222222222,0.7777777777777778,1,2,0.5,0.5
Lecture 4,Slide24,7,10,0.3,0.7,3,4,0.25,0.75
Lecture 4,Slide25,1,4,0.75,0.25,1,2,0.5,0.5
Lecture 4,Slide26,8,11,0.2727272727272727,0.7272727272727273,3,4,0.25,0.75
