,OpenGVLab__InternVL3-14B,Qwen__Qwen2-VL-7B-Instruct,Qwen__Qwen3-VL-4B-Instruct,llava-hf__llava-onevision-qwen2-7b-ov-hf
OpenGVLab__InternVL3-14B,1.0,0.004158004158004158,0.016295379537953795,0.006548788474132285
Qwen__Qwen2-VL-7B-Instruct,0.004158004158004158,1.0,0.0033068783068783067,0.01834862385321101
Qwen__Qwen3-VL-4B-Instruct,0.016295379537953795,0.0033068783068783067,1.0,0.0017857142857142857
llava-hf__llava-onevision-qwen2-7b-ov-hf,0.006548788474132285,0.01834862385321101,0.0017857142857142857,1.0
