lecture,slide,local_mtime,chain_timestamp,time_gap_sec
1,1,1764822749.7696824,1764825564,2814.230317592621
1,10,1764822749.77068,1764825573,2823.229320049286
1,11,1764822749.77068,1764825574,2824.229320049286
1,12,1764822749.771515,1764825575,2825.228485107422
1,13,1764822749.77255,1764825576,2826.2274498939514
1,14,1764822749.77255,1764825577,2827.2274498939514
1,15,1764822749.7734816,1764825578,2828.226518392563
1,16,1764822749.7734816,1764825579,2829.226518392563
1,17,1764822749.7734816,1764825580,2830.226518392563
1,18,1764822749.77535,1764825581,2831.2246499061584
1,19,1764822749.77535,1764825582,2832.2246499061584
1,2,1764822749.7761333,1764825565,2815.223866701126
1,20,1764822749.7770884,1764825583,2833.222911596298
1,21,1764822749.7770884,1764825584,2834.222911596298
1,22,1764822749.778092,1764825585,2835.221908092499
1,23,1764822749.778092,1764825586,2836.221908092499
1,24,1764822749.7792063,1764825587,2837.22079372406
1,25,1764822749.7792063,1764825588,2838.22079372406
1,26,1764822749.7800758,1764825589,2839.219924211502
1,27,1764822749.7800758,1764825590,2840.219924211502
1,28,1764822749.781085,1764825591,2841.2189149856567
1,29,1764822749.781085,1764825592,2842.2189149856567
1,3,1764822749.7830448,1764825566,2816.2169551849365
1,30,1764822749.7841868,1764825593,2843.2158131599426
1,31,1764822749.7841868,1764825594,2844.2158131599426
1,32,1764822749.7851415,1764825595,2845.214858531952
1,33,1764822749.785711,1764825596,2846.2142889499664
1,34,1764822749.7868412,1764825597,2847.2131588459015
1,35,1764822749.7868412,1764825598,2848.2131588459015
1,36,1764822749.7877197,1764825599,2849.2122802734375
1,37,1764822749.7887256,1764825600,2850.2112743854523
1,38,1764822749.7887256,1764825601,2851.2112743854523
1,39,1764822749.7897787,1764825602,2852.2102212905884
1,4,1764822749.790752,1764825567,2817.2092480659485
1,40,1764822749.790752,1764825603,2853.2092480659485
1,41,1764822749.791867,1764825604,2854.208132982254
1,42,1764822749.791867,1764825605,2855.208132982254
1,43,1764822749.7929146,1764825606,2856.2070853710175
1,44,1764822749.7929146,1764825607,2857.2070853710175
1,45,1764822749.7937374,1764825608,2858.206262588501
1,46,1764822749.7937374,1764825609,2859.206262588501
1,47,1764822749.7937374,1764825610,2860.206262588501
1,48,1764822749.7952573,1764825611,2861.204742670059
1,49,1764822749.7963011,1764825612,2862.20369887352
1,5,1764822749.7963011,1764825568,2818.20369887352
1,50,1764822749.7972896,1764825613,2863.202710390091
1,6,1764822749.7972896,1764825569,2819.202710390091
1,7,1764822749.7972896,1764825570,2820.202710390091
1,8,1764822749.7998314,1764825571,2821.200168609619
1,9,1764822749.7998314,1764825572,2822.200168609619
10,1,1764822749.800851,1764825964,3214.1991488933563
10,10,1764822749.8018427,1764825973,3223.198157310486
10,11,1764822749.8018427,1764825974,3224.198157310486
10,12,1764822749.8018427,1764825975,3225.198157310486
10,13,1764822749.8028407,1764825976,3226.1971592903137
10,14,1764822749.8038337,1764825977,3227.1961662769318
10,15,1764822749.8038337,1764825978,3228.1961662769318
10,16,1764822749.8038337,1764825979,3229.1961662769318
10,17,1764822749.8053432,1764825980,3230.1946568489075
10,18,1764822749.8053432,1764825981,3231.1946568489075
10,19,1764822749.8063564,1764825982,3232.1936435699463
10,2,1764822749.8063564,1764825965,3215.1936435699463
10,20,1764822749.8074083,1764825983,3233.1925916671753
10,21,1764822749.8083537,1764825984,3234.191646337509
10,22,1764822749.8083537,1764825985,3235.191646337509
10,23,1764822749.8093758,1764825986,3236.1906242370605
10,24,1764822749.8093758,1764825987,3237.1906242370605
10,25,1764822749.8103807,1764825988,3238.1896193027496
10,26,1764822749.8103807,1764825989,3239.1896193027496
10,27,1764822749.811396,1764825990,3240.18860411644
10,28,1764822749.8123858,1764825991,3241.1876142024994
10,29,1764822749.8123858,1764825992,3242.1876142024994
10,3,1764822749.8133616,1764825966,3216.186638355255
10,30,1764822749.8133616,1764825993,3243.186638355255
10,31,1764822749.8133616,1764825994,3244.186638355255
10,32,1764822749.8133616,1764825995,3245.186638355255
10,33,1764822749.816108,1764825996,3246.1838920116425
10,34,1764822749.816108,1764825997,3247.1838920116425
10,35,1764822749.8171725,1764825998,3248.1828274726868
10,36,1764822749.8171725,1764825999,3249.1828274726868
10,37,1764822749.818215,1764826000,3250.181785106659
10,38,1764822749.8191633,1764826001,3251.1808366775513
10,39,1764822749.8191633,1764826002,3252.1808366775513
10,4,1764822749.820229,1764825967,3217.1797709465027
10,40,1764822749.820229,1764826003,3253.1797709465027
10,41,1764822749.820229,1764826004,3254.1797709465027
10,42,1764822749.8213296,1764826005,3255.1786704063416
10,43,1764822749.8222146,1764826006,3256.177785396576
10,44,1764822749.8222146,1764826007,3257.177785396576
10,45,1764822749.823121,1764826008,3258.176878929138
10,46,1764822749.823121,1764826009,3259.176878929138
10,47,1764822749.8241112,1764826010,3260.175888776779
10,48,1764822749.8241112,1764826011,3261.175888776779
10,49,1764822749.8251054,1764826012,3262.1748945713043
10,5,1764822749.8256798,1764825968,3218.1743202209473
10,50,1764822749.8268652,1764826013,3263.173134803772
10,6,1764822749.8268652,1764825969,3219.173134803772
10,7,1764822749.8277378,1764825970,3220.1722621917725
10,8,1764822749.8277378,1764825971,3221.1722621917725
10,9,1764822749.828752,1764825972,3222.171247959137
11,1,1764822749.8297808,1764826014,3264.170219182968
11,10,1764822749.8297808,1764826023,3273.170219182968
11,11,1764822749.830784,1764826024,3274.1692159175873
11,12,1764822749.830784,1764826025,3275.1692159175873
11,13,1764822749.8316896,1764826026,3276.168310403824
