slide_index,gas_used,gas_price,cost_eth,cost_usd
1,231412,1771980767,0.000410057613253004,1.230172839759012
2,231412,1676971885,0.00038807141785162,1.1642142535548599
3,231412,1593655895,0.00036879109797374,1.10637329392122
4,231412,1520593734,0.000351883637172408,1.055650911517224
5,231412,1456523448,0.000337057004148576,1.011171012445728
6,231412,1400338393,0.000324055108200916,0.9721653246027481
7,231412,1351068120,0.00031265337578544,0.9379601273563201
8,231412,1307861617,0.000302654872513204,0.907964617539612
9,231412,1269972606,0.000293886900699672,0.881660702099016
10,231424,1236746655,0.00028621285788672,0.8586385736601599
11,231424,1207609897,0.000279469912803328,0.838409738409984
12,231424,1182059043,0.000273556831967232,0.820670495901696
13,231424,1159652770,0.00026837148264448,0.80511444793344
14,231424,1140004070,0.00026382430189568,0.7914729056870401
15,231424,1122773564,0.000259836749275136,0.779510247825408
16,231424,1107663642,0.000256339950686208,0.769019852058624
17,231424,1094413320,0.00025327350816768,0.75982052450304
18,231424,1082793735,0.00025058445732864,0.75175337198592
19,231424,1072604189,0.000248226351835136,0.744679055505408
20,231424,1063668685,0.00024615846175744,0.73847538527232
21,231424,1055832887,0.000244345070041088,0.7330352101232639
22,231424,1048961452,0.000242754855067648,0.728264565202944
23,231424,1042935695,0.00024136035027968,0.72408105083904
24,231424,1037651537,0.000240137469298688,0.7204124078960641
25,231424,1033017708,0.000239065090056192,0.717195270168576
26,231424,1028954171,0.000238124690069504,0.714374070208512
27,231424,1025390739,0.000237300026382336,0.711900079147008
28,231424,1022265864,0.000236576855310336,0.7097305659310079
29,231424,1019525572,0.000235942685974528,0.7078280579235839
30,231424,1017122532,0.000235386564845568,0.706159694536704
31,231424,1015015237,0.000234898886207488,0.704696658622464
32,231424,1013167290,0.00023447122692096,0.70341368076288
33,231424,1011546773,0.000234096200394752,0.702288601184256
34,231424,1010125695,0.00023376732883968,0.70130198651904
35,231424,1008879511,0.000233478931953664,0.700436795860992
36,231424,1007786697,0.000233226028566528,0.699678085699584
37,231424,1006828377,0.000233004250318848,0.6990127509565439
38,231424,1005987999,0.000232809766680576,0.698429300041728
39,231424,1005251048,0.000232639218532352,0.697917655597056
40,231424,1004604794,0.000232489659846656,0.697468979539968
41,231424,1004038076,0.000232358507700224,0.697075523100672
42,231424,1003541105,0.00023224349668352,0.69673049005056
43,231424,1003105297,0.000232142640252928,0.696427920758784
44,231424,1002723124,0.000232054196248576,0.696162588745728
45,231424,1002387986,0.000231976637272064,0.695929911816192
46,231424,1002094094,0.000231908623609856,0.6957258708295679
47,231424,1001836371,0.000231848980322304,0.695546940966912
48,231424,1001610367,0.000231796677572608,0.6953900327178241
49,231424,1001412177,0.000231750811650048,0.695252434950144
50,231424,1001238379,0.000231710590621696,0.695131771865088
51,231412,1001085970,0.00023166330648964,0.69498991946892
52,231412,1000952318,0.000231632377813016,0.6948971334390479
53,231412,1000835115,0.00023160525563238,0.69481576689714
54,231412,1000732337,0.000231581471569844,0.6947444147095321
55,231412,1000642208,0.000231560614637696,0.694681843913088
56,231412,1000563171,0.000231542324527452,0.694626973582356
57,231412,1000493861,0.000231526285361732,0.694578856085196
58,231412,1000433081,0.000231512220140372,0.6945366604211161
59,231412,1000379782,0.000231499886112184,0.694499658336552
60,231424,1000333042,0.000231501073911808,0.694503221735424
61,231424,1000292055,0.00023149158853632,0.69447476560896
62,231424,1000256112,0.000231483270463488,0.694449811390464
63,231424,1000224592,0.000231475975979008,0.694427927937024
64,231424,1000196952,0.000231469579419648,0.694408738258944
65,231424,1000172713,0.000231463969933312,0.694391909799936
66,231424,1000151457,0.000231459050784768,0.694377152354304
67,231424,1000132817,0.000231454737041408,0.694364211124224
68,231424,1000116472,0.000231450954416128,0.6943528632483841
69,231424,1000102138,0.000231447637184512,0.694342911553536
70,231424,1000089568,0.000231444728184832,0.6943341845544959
71,231424,1000078545,0.00023144217719808,0.69432653159424
72,231424,1000068879,0.000231439940253696,0.694319820761088
73,231424,1000060402,0.000231437978472448,0.694313935417344
74,231424,1000052969,0.000231436258297856,0.694308774893568
75,231424,1000046451,0.000231434749876224,0.694304249628672
76,231424,1000040735,0.00023143342705664,0.6943002811699199
77,231424,1000035722,0.000231432266928128,0.6942968007843839
78,231424,1000031326,0.000231431249588224,0.694293748764672
79,231424,1000027471,0.000231430357448704,0.694291072346112
80,231424,1000024091,0.000231429575235584,0.694288725706752
81,231424,1000021127,0.000231428889294848,0.694286667884544
82,231424,1000018527,0.000231428287592448,0.694284862777344
83,231424,1000016247,0.000231427759945728,0.694283279837184
84,231424,1000014248,0.000231427297329152,0.694281891987456
85,231424,1000012495,0.00023142689164288,0.69428067492864
86,231424,1000010958,0.000231426535944192,0.694279607832576
87,231424,1000009610,0.00023142622398464,0.69427867195392
88,231424,1000008428,0.000231425950441472,0.694277851324416
89,231424,1000007391,0.000231425710454784,0.694277131364352
90,231424,1000006482,0.000231425500090368,0.694276500271104
